level_0,index,Year,State,County,CountyFIPS,Median_Household_Income,Unemployment_Rate,Income_Inequality_Gini,Households_on_Food_Stamps,Households_Income_Below_10K,Population_Income_Above_200PCT_Poverty,High_School_Graduation_Rate,Bachelor_Degree_Rate,Less_Than_High_School_Edu,Graduate_Degree_Rate,Youth_Not_in_School_or_Work,Uninsured_Rate_Under_64,Hospitals_with_Ambulance_per_1K,Median_Distance_to_ER,Median_Distance_to_Clinic,Advanced_Nurses_per_1K,Primary_Care_Shortage_Score,Households_No_Vehicle,Median_Home_Value,Percent_Homes_Built_Pre_1979,Days_Heat_Index_Above_100F,Storm_Injuries_Total,Elderly_Living_Alone,Single_Parent_Households,Non_Citizen_Population,Limited_English_Households,Injury_Death_Rate,Self_Harm_Death_Rate,Poverty_Rate,Premature_Death_Rate,Adult_Health_Score,Max_SDOH_Category,Max_SDOH_Percent
10,17,2010,Texas,Bosque County,48035,45288.0,7.88,0.42,11.1,6.24,59.77,36.2,10.22,19.9,4.61,0.42,28.2,0.06,9.75,1.56,0.38,1.0,4.41,88800.0,58.47,86.0,0.0,11.24,22.53,3.73,3.0,0.6830393174218841,0.376500857632933,16.469654676258994,0.4908716893803035,0.4629151053819593,Healthcare Access,35.13303331189995
11,18,2010,Texas,Bowie County,48037,42550.0,7.89,0.47,13.5,11.07,59.82,33.08,11.18,16.53,6.88,2.03,22.1,0.0,4.83,15.95,0.91,2.0,7.53,88600.0,54.7,87.0,0.0,10.48,36.81,2.5,0.97,0.4548599100657212,0.472984562607204,16.297025645705943,0.6824376446387248,0.4067809839363283,Healthcare Access,52.62750431960832
12,19,2010,Texas,Brazoria County,48039,65607.0,5.47,0.42,6.58,5.02,74.63,25.63,17.05,15.66,9.06,1.82,21.4,0.0,13.14,17.01,0.15,2.0,3.45,140300.0,40.11,77.0,0.0,6.09,23.43,6.96,4.65,0.2199930819785541,0.2980274442538594,10.390435681348386,0.3018770892260222,0.7230730774454345,Economic Stability,35.35246234585252
13,20,2010,Texas,Brazos County,48041,37898.0,6.44,0.53,8.22,18.23,52.56,22.56,22.35,15.53,16.94,0.99,22.2,0.0,3.26,2.3,0.33,1.0,6.72,141700.0,37.32,96.0,0.0,4.97,35.12,9.99,6.28,0.0943156923786464,0.1307890222984562,29.307534787978582,0.2165080997685781,0.8287215301954136,Economic Stability,36.39183100359474
14,24,2010,Texas,Brown County,48049,38832.0,3.55,0.48,10.84,11.46,56.89,40.06,10.52,18.31,4.47,0.28,26.7,0.0,26.99,1.93,0.37,0.0,5.23,76900.0,64.25,73.0,0.0,11.84,23.61,2.38,1.87,0.481378992274876,0.5253001715265866,15.854470588235293,0.6487528927744921,0.4138045495001832,Economic Stability,28.496884094629614
15,25,2010,Texas,Burleson County,48051,43185.0,6.41,0.41,13.78,8.39,62.3,40.69,6.98,23.24,3.51,6.33,27.4,0.06,8.4,3.33,0.06,1.0,6.81,80200.0,45.23,99.0,0.0,12.27,24.58,7.19,2.86,0.589069526115531,0.4605488850771869,12.61883639169954,0.4487014656724095,0.5080033742541763,Education,30.63712738715078
16,26,2010,Texas,Burnet County,48053,48187.0,5.31,0.44,8.02,5.77,62.28,30.43,14.77,16.49,6.59,5.53,29.6,0.02,12.64,3.77,0.26,2.0,4.15,137800.0,44.85,78.0,0.0,11.01,33.38,5.35,3.14,0.6197394211922058,0.4571183533447683,13.476892515661062,0.3779892003085627,0.5415728181227237,Economic Stability,29.698816182919295
17,27,2010,Texas,Caldwell County,48055,41594.0,10.78,0.43,12.33,9.2,58.44,38.24,10.48,24.41,3.86,10.2,27.5,0.0,11.95,2.97,0.11,1.0,5.06,99600.0,43.75,95.0,0.0,8.84,35.63,4.21,3.93,0.3056612475498674,0.1277873070325901,19.07771203939009,0.3257906916945231,0.7000484800150669,Education,36.44034493280312
18,29,2010,Texas,Callahan County,48059,44596.0,5.33,0.42,9.43,8.98,65.54,35.73,12.39,13.7,4.75,10.39,23.9,0.0,17.74,4.46,0.07,0.0,3.35,73700.0,58.74,56.0,0.0,12.14,29.16,1.52,0.37,0.573158076790038,0.5711835334476842,13.56544777442809,0.7168938030341991,0.3407979417977007,Education,29.528031064491326
19,30,2010,Texas,Cameron County,48061,31264.0,7.41,0.49,25.63,15.09,37.57,24.31,9.82,37.68,4.73,1.56,37.6,0.01,7.36,2.1,0.29,1.0,9.4,74000.0,41.9,93.0,0.0,7.07,30.5,17.45,18.86,0.0,0.0596054888507719,24.73267089156104,0.2581640524556442,0.8391410196415363,Economic Stability,37.911519895208045
20,33,2010,Texas,Cass County,48067,36360.0,8.53,0.46,13.87,11.86,58.05,39.71,8.8,17.66,4.11,3.4,22.0,0.03,3.69,3.45,0.23,1.0,7.46,68700.0,58.64,88.0,0.0,12.56,38.98,1.74,1.0,0.5359160613397901,0.3734991423670669,18.224231788684765,0.7716636667523786,0.338877067309929,Economic Stability,24.883731883736264
21,35,2010,Texas,Chambers County,48071,66764.0,6.15,0.38,4.75,5.69,76.65,30.01,11.75,15.17,4.46,2.79,20.3,0.03,16.95,3.91,0.11,1.0,3.0,136600.0,34.95,77.0,1.0,6.45,19.0,4.36,3.29,0.3712671509281678,0.2045454545454545,10.868779395296754,0.4479300591411674,0.5994072737823037,Economic Stability,42.4350227203039
22,36,2010,Texas,Cherokee County,48073,36966.0,5.55,0.45,13.53,11.46,52.3,37.28,7.95,25.76,3.9,2.18,30.5,0.02,25.42,1.2,0.24,2.0,5.23,68100.0,52.94,83.0,0.0,11.1,28.31,8.42,4.18,0.6220454283408279,0.3383361921097769,22.606204882796657,0.5978400617125226,0.4208487152592604,Economic Stability,33.05165521751409
23,42,2010,Texas,Collin County,48085,80504.0,5.04,0.42,2.38,3.2,82.92,15.78,32.37,7.19,15.97,1.18,16.7,0.01,3.62,5.49,0.25,0.0,2.61,199000.0,15.34,81.0,0.0,4.09,17.16,9.79,5.06,0.0148737461086129,0.1496569468267581,6.950812002767209,0.0,0.9805721814847403,Economic Stability,31.230577925945084
24,44,2010,Texas,Colorado County,48089,41145.0,4.76,0.46,7.96,8.4,64.97,39.71,11.4,20.43,3.95,1.38,28.5,0.0,3.13,3.14,0.29,2.0,5.5,97000.0,57.62,91.0,0.0,15.28,29.67,7.27,4.13,0.4843768015680849,0.343910806174957,13.826734792404247,0.3656466958086912,0.6009078614268639,Economic Stability,27.454425943953233
25,45,2010,Texas,Comal County,48091,64752.0,5.66,0.44,6.16,4.54,74.54,25.09,21.51,11.39,11.11,4.36,20.5,0.0,21.19,2.9,0.27,0.0,3.34,187400.0,30.48,77.0,0.0,8.24,19.55,3.86,2.71,0.3235328029516892,0.5,10.086585404971933,0.2355361275392131,0.7116184825909654,Economic Stability,29.847582995179017
26,46,2010,Texas,Comanche County,48093,35218.0,5.09,0.43,14.23,12.65,54.89,32.5,12.89,25.32,5.17,2.06,34.6,0.07,7.23,1.2,0.36,2.0,4.98,83900.0,59.3,76.0,0.0,16.02,26.36,6.9,1.66,0.6823475152772974,0.5488850771869639,21.879230393752035,0.5284134739007458,0.4233591533576669,Healthcare Access,38.7897902963137
27,48,2010,Texas,Cooke County,48097,48899.0,7.21,0.44,10.03,7.7,63.03,31.03,13.98,18.2,5.55,11.06,28.6,0.03,3.17,2.53,0.39,0.0,3.63,111400.0,55.4,80.0,0.0,10.55,24.15,6.75,3.93,0.527153234175026,0.433533447684391,14.070379101064296,0.4247878632039086,0.5436279670567079,Healthcare Access,39.75571540598031
28,49,2010,Texas,Coryell County,48099,47374.0,8.32,0.38,7.37,7.54,62.95,32.34,10.83,12.42,4.56,1.1,20.9,0.0,21.64,15.58,0.09,1.0,3.63,92000.0,45.98,80.0,0.0,5.6,29.15,2.67,1.3,0.186786579038395,0.3280445969125214,12.9660212404418,0.3126767806634096,0.7235534981991836,Healthcare Access,35.04350765883357
29,56,2010,Texas,Dallas County,48113,47974.0,7.79,0.49,8.82,7.18,58.81,23.27,18.37,23.51,9.62,3.31,31.0,0.0,3.17,8.37,0.6,1.0,7.3,129700.0,56.21,85.0,1.0,6.46,34.09,17.29,11.19,0.1954341058457281,0.2216981132075471,16.113773277467413,0.368475186423245,0.6981148450715798,Healthcare Access,27.235136100423464
30,60,2010,Texas,Denton County,48121,70622.0,6.2,0.42,3.46,3.8,79.08,19.57,27.62,8.84,11.84,1.91,17.9,0.01,2.96,7.59,0.26,2.0,2.8,178300.0,17.95,86.0,0.0,3.67,19.3,8.74,4.7,0.0055344171566931,0.2221269296740994,8.05923485295357,0.1051684237593212,0.9130259276299894,Economic Stability,30.429255083963447
31,61,2010,Texas,DeWitt County,48123,40668.0,4.7,0.44,12.51,8.08,57.33,36.61,7.45,24.53,4.7,0.99,25.0,0.05,3.36,1.8,0.15,0.0,6.34,68700.0,68.25,96.0,0.0,13.27,36.49,2.41,2.64,0.4647757408047965,0.4489708404802744,16.735234785419866,0.4147595782977629,0.5668144467318759,Healthcare Access,31.287291359631237
32,66,2010,Texas,Eastland County,48133,32452.0,5.41,0.45,14.95,11.6,53.15,34.3,10.3,22.26,5.2,2.71,28.9,0.05,9.87,0.92,0.32,0.0,7.48,58400.0,69.53,71.0,0.0,14.75,26.17,2.74,2.01,0.6579038395019026,0.4073756432246997,20.98303684767278,0.6680380560555412,0.3610684501936345,Healthcare Access,31.863714848025925
33,67,2010,Texas,Ector County,48135,45815.0,5.81,0.47,13.38,8.36,60.52,30.12,9.11,27.11,3.97,3.29,29.5,0.0,2.72,3.99,0.43,2.0,5.47,75500.0,64.85,11.0,0.0,8.78,35.97,7.44,7.03,0.3921365156231985,0.2645797598627787,15.607551239115876,0.5924402159938289,0.5004369397304652,Neighborhood and Environment,29.0114267981194
34,69,2010,Texas,Ellis County,48139,60877.0,6.63,0.4,8.63,4.48,70.2,30.65,15.0,17.07,6.03,2.64,23.1,0.0,17.1,5.57,0.27,2.0,3.24,136100.0,33.53,84.0,0.0,5.64,24.84,5.46,4.27,0.2044275337253546,0.1715265866209262,11.492585450633122,0.2879917716636668,0.7487240182221009,Economic Stability,41.6696454366129
35,70,2010,Texas,El Paso County,48141,36333.0,7.52,0.47,20.17,11.61,47.07,24.09,12.89,29.01,6.38,1.89,32.8,0.0,5.54,3.0,0.39,1.0,8.37,101800.0,51.18,0.0,0.0,7.58,34.28,15.72,19.33,0.0852069641415888,0.1312178387650086,19.683362837011583,0.2136796091540241,0.8331083613886079,Economic Stability,27.059281194708007
36,71,2010,Texas,Erath County,48143,39200.0,6.0,0.47,7.75,11.62,54.94,27.02,16.26,20.5,7.72,0.54,31.3,0.0,26.18,2.34,0.16,0.0,3.35,110900.0,49.6,75.0,0.0,9.83,26.32,6.66,2.36,0.3656174334140436,0.2684391080617495,19.72399182076813,0.2504499871432245,0.7132008668836773,Healthcare Access,38.08050521735886
37,72,2010,Texas,Falls County,48145,31083.0,7.91,0.43,17.68,13.95,47.74,35.84,5.65,26.55,4.13,4.44,27.7,0.06,6.94,1.56,0.22,1.0,10.02,59500.0,67.98,96.0,0.0,14.33,35.81,3.21,3.3,0.4633921365156233,0.3366209262435676,22.43263307428763,0.4970429416302391,0.5290945014428128,Economic Stability,32.87152203203451
38,73,2010,Texas,Fannin County,48147,44551.0,7.41,0.42,10.77,7.86,65.88,40.25,10.47,17.61,4.27,4.91,25.8,0.0,27.51,2.07,0.18,1.0,3.97,81500.0,55.69,82.0,0.0,12.25,23.58,3.18,1.81,0.5702755678542604,0.441680960548885,15.84274927483684,0.5813833890460274,0.4359192001612169,Education,28.0171490377888
39,74,2010,Texas,Fayette County,48149,45450.0,2.89,0.45,5.85,5.73,66.44,35.43,13.42,21.0,4.19,3.76,25.2,0.04,6.39,3.94,0.24,2.0,4.09,133500.0,51.63,93.0,0.0,14.55,23.79,4.59,4.77,0.6567508359275914,0.58704974271012,11.735112653061226,0.3093340190280277,0.558669363533894,Economic Stability,37.547581770679976
40,78,2010,Texas,Fort Bend County,48157,79845.0,5.12,0.43,4.26,3.48,77.75,20.3,26.59,11.42,13.85,1.4,19.6,0.0,4.48,4.59,0.16,2.0,2.21,171500.0,20.76,88.0,0.0,3.47,19.45,12.12,6.3,0.0516545601291364,0.1016295025728988,7.649190293324619,0.062998200051427,0.9365417616731128,Economic Stability,31.511248009834052
41,80,2010,Texas,Freestone County,48161,44560.0,6.47,0.48,8.05,8.37,62.48,34.84,9.82,21.33,4.16,3.94,24.4,0.0,8.17,2.41,0.35,2.0,5.26,89900.0,52.19,96.0,0.0,15.86,17.6,4.1,2.83,0.5921826357661709,0.3795025728987993,16.41687240570294,0.5073283620467988,0.4799979347521895,Community Context,31.35729818188686
42,83,2010,Texas,Galveston County,48167,58317.0,6.93,0.45,9.11,7.05,71.09,27.13,17.3,14.07,9.05,4.18,21.7,0.0,14.69,3.24,0.63,1.0,5.82,141400.0,47.98,67.0,0.0,7.54,28.77,6.0,3.52,0.3061224489795918,0.4421097770154374,12.258007659713169,0.4253021342247365,0.6087710070697367,Economic Stability,27.268150388843225
43,85,2010,Texas,Gillespie County,48171,52682.0,2.47,0.44,5.34,5.64,71.68,29.4,17.08,13.6,9.75,0.0,28.0,0.0,2.83,29.2,0.6,0.0,2.93,191100.0,43.85,40.0,0.0,14.2,20.79,4.55,3.82,0.5421422806410701,0.3383361921097769,8.271577055074358,0.1545384417588069,0.710800631541417,Healthcare Access,33.81776514401032
44,88,2010,Texas,Gonzales County,48177,37094.0,8.84,0.45,11.9,10.02,51.38,33.12,9.81,32.38,4.06,2.86,31.6,0.0,5.73,0.71,0.2,1.0,7.33,69500.0,60.97,98.0,0.0,12.71,28.24,11.1,8.81,0.6203159229793613,0.5497427101200685,19.794780653372936,0.6088968886603241,0.3935928188979903,Healthcare Access,27.20565511776333
45,89,2010,Texas,Gray County,48179,40442.0,7.89,0.47,8.75,8.26,59.09,34.87,8.67,20.7,3.53,3.08,27.2,0.0,25.68,20.59,0.36,0.0,3.41,65500.0,77.03,11.0,0.0,14.1,23.08,5.05,3.94,0.6316153580076099,0.6826758147512864,15.605479111405836,0.8634610439701724,0.2241711847404849,Healthcare Access,36.78940891868343
46,90,2010,Texas,Grayson County,48181,46875.0,7.5,0.42,11.13,6.73,67.0,32.84,13.51,14.81,5.71,5.12,27.4,0.02,26.85,7.78,0.47,2.0,5.06,99600.0,57.44,82.0,1.0,10.87,30.76,4.19,2.24,0.3976709327798916,0.4331046312178387,13.820313525337223,0.5929544870146568,0.4816155648354546,Healthcare Access,34.70156596515764
47,91,2010,Texas,Gregg County,48183,43367.0,7.43,0.46,10.36,8.14,62.27,29.31,14.42,17.62,5.92,3.69,25.7,0.0,18.8,2.86,0.63,2.0,6.73,109800.0,59.22,88.0,0.0,11.16,33.7,6.8,3.99,0.4319151389369307,0.4382504288164665,16.570930475692627,0.7019799434301879,0.4054124493791614,Healthcare Access,44.84934743370674
48,92,2010,Texas,Grimes County,48185,39429.0,5.96,0.44,12.07,8.62,59.65,40.88,7.68,22.84,3.58,0.0,27.4,0.0,23.79,9.54,0.04,2.0,6.93,89400.0,38.52,92.0,0.0,11.07,29.46,5.9,3.73,0.4021676467197048,0.1337907375643224,15.41749810844893,0.7271792234507586,0.4296630981572011,Healthcare Access,36.063933527825434
49,93,2010,Texas,Guadalupe County,48187,61274.0,6.34,0.4,7.89,5.07,73.0,29.26,15.45,14.94,8.56,3.51,22.2,0.0,17.44,6.83,0.16,1.0,3.6,142400.0,32.28,94.0,0.0,7.32,24.86,3.98,4.24,0.2080018448057188,0.3383361921097769,9.13930082035072,0.2766778092054512,0.7377591418240359,Economic Stability,40.266294396233675
50,94,2010,Texas,Hale County,48189,36509.0,5.7,0.43,15.92,9.33,50.37,31.94,9.55,30.02,4.58,2.12,26.2,0.03,17.0,0.81,0.14,2.0,8.14,73500.0,82.11,1.0,0.0,10.51,32.92,6.29,7.76,0.2949383143087744,0.1638078902229845,16.99324981723932,0.3905888403188481,0.6607844124937604,Neighborhood and Environment,31.406804707645282
51,96,2010,Texas,Hamilton County,48193,40808.0,5.8,0.44,7.15,6.63,66.79,31.66,16.55,17.41,6.88,5.35,29.8,0.12,4.44,2.5,0.23,0.0,3.3,82900.0,75.2,76.0,0.0,15.76,25.18,2.48,2.22,0.8661362850224836,0.9193825042881644,12.79112516469038,0.4731293391617384,0.3643432605673954,Healthcare Access,43.17624493098835
52,99,2010,Texas,Hardin County,48199,52755.0,6.14,0.42,12.99,7.05,71.74,39.74,11.86,14.86,3.49,5.55,20.2,0.0,18.58,2.66,0.13,0.0,4.45,95500.0,45.28,94.0,0.0,10.04,24.56,0.85,0.46,0.4008993427879627,0.5158662092624356,11.871061096219613,0.5451272820776552,0.5010672069907746,Healthcare Access,29.10355746385814
53,100,2010,Texas,Harris County,48201,51444.0,7.33,0.49,8.93,6.89,61.27,24.09,18.18,22.4,9.51,2.47,29.9,0.0,4.14,4.35,0.43,1.0,7.14,131700.0,50.31,85.0,0.0,5.67,30.8,17.23,12.62,0.217687074829932,0.2397084048027443,15.016311623699684,0.3237336076112111,0.7164828725040192,Community Context,29.37337585352467
54,101,2010,Texas,Harrison County,48203,44425.0,7.93,0.45,12.14,8.81,61.8,36.26,10.81,16.29,5.42,3.34,25.7,0.0,27.65,2.51,0.2,2.0,6.94,94400.0,54.77,87.0,0.0,11.05,32.3,4.35,2.22,0.5091663784157732,0.3254716981132075,15.197336033101504,0.5150424273592182,0.5056774602484163,Healthcare Access,41.442414798978774
55,104,2010,Texas,Hays County,48209,56353.0,6.49,0.46,5.0,8.9,69.05,23.08,24.05,11.89,10.93,1.15,22.3,0.01,9.83,3.13,0.28,2.0,2.59,173300.0,23.3,85.0,0.0,5.12,22.18,4.42,2.96,0.1528882739536493,0.2349914236706689,16.26684223581941,0.1583954744150166,0.8355970907978283,Education,32.855632508754866
56,106,2010,Texas,Henderson County,48213,39779.0,8.23,0.46,10.65,9.6,58.99,34.54,9.53,21.03,4.7,4.89,28.8,0.0,31.21,6.81,0.41,2.0,4.8,86400.0,42.25,95.0,0.0,10.79,30.55,4.33,1.91,0.5372996656289635,0.5077186963979416,16.676916501709556,0.6677809205451275,0.3873696783444403,Healthcare Access,37.23904042390038
57,107,2010,Texas,Hidalgo County,48215,31879.0,9.87,0.49,30.37,15.19,38.21,24.42,10.68,39.84,4.38,3.09,38.1,0.0,5.25,3.02,0.22,2.0,7.4,73000.0,27.96,109.0,0.0,5.97,29.07,21.96,21.6,0.0367808140205234,0.0,25.481731467081392,0.1812805348418618,0.8801974348887258,Economic Stability,38.495696802155365
58,108,2010,Texas,Hill County,48217,39293.0,6.7,0.44,9.51,7.17,59.41,29.95,11.59,21.85,3.69,1.58,27.1,0.03,3.33,2.07,0.2,2.0,5.53,85000.0,53.9,85.0,0.0,14.23,20.96,6.11,3.61,0.5183904070102617,0.4463979416809605,15.42754679144385,0.4631010542555926,0.5219824511754698,Healthcare Access,32.29954025002391
59,109,2010,Texas,Hockley County,48219,46430.0,6.15,0.43,12.05,9.19,63.68,26.88,13.14,25.89,4.84,0.48,26.5,0.0,5.45,1.44,0.26,2.0,3.73,71200.0,70.23,1.0,0.0,10.27,25.87,3.85,5.09,0.4341058457281218,0.5540308747855917,15.923541651718448,0.4595011571097969,0.5386644645371261,Neighborhood and Environment,35.19002009394318
60,110,2010,Texas,Hood County,48221,54882.0,4.85,0.45,8.18,4.42,73.47,28.61,16.79,13.81,7.14,0.0,24.0,0.0,25.26,13.68,0.16,0.0,3.06,152200.0,29.81,81.0,0.0,11.31,22.0,2.89,1.0,0.4917560244436757,0.5128644939965694,12.302924752837788,0.3088197480071998,0.6158948944629205,Healthcare Access,29.061097749224523
61,111,2010,Texas,Hopkins County,48223,41642.0,6.96,0.43,10.23,7.79,60.84,33.1,11.41,21.3,5.28,6.23,30.7,0.03,2.34,1.45,0.28,0.0,6.32,95300.0,52.31,87.0,0.0,9.84,23.22,6.48,3.89,0.4854145047849648,0.3036020583190394,15.600173979461935,0.6472100797120084,0.4356893949054016,Healthcare Access,46.81952849598828
62,112,2010,Texas,Houston County,48225,31929.0,9.07,0.49,18.1,11.01,51.49,41.19,9.88,21.49,3.5,0.73,29.6,0.0,11.08,2.62,0.08,2.0,9.31,67600.0,56.83,91.0,0.0,13.69,39.62,3.29,1.89,0.5504439063761098,0.241852487135506,24.134882232937688,0.6279249164309593,0.4339266295150409,Economic Stability,35.288978877858796
63,113,2010,Texas,Howard County,48227,39574.0,7.5,0.44,10.38,8.79,57.63,27.89,6.67,29.18,3.42,3.75,23.9,0.0,20.78,1.41,0.49,2.0,7.73,57200.0,81.04,25.0,0.0,14.0,34.87,14.01,3.46,0.3627349244782659,0.3820754716981132,18.905564812545943,0.6006685523270765,0.492570844090463,Neighborhood and Environment,25.795928434864624
64,115,2010,Texas,Hunt County,48231,43101.0,8.66,0.45,11.18,8.68,59.46,34.59,11.48,19.97,5.51,3.22,25.8,0.0,4.89,2.95,0.3,2.0,5.27,90700.0,46.45,88.0,0.0,9.72,30.06,4.88,2.07,0.3925977170529229,0.4541166380789021,19.70473874032372,0.6173823605039856,0.4663796047738415,Healthcare Access,34.00167565822575
65,116,2010,Texas,Hutchinson County,48233,42213.0,7.48,0.42,7.75,7.68,64.63,36.09,9.08,16.52,3.96,2.81,25.8,0.0,1.21,0.96,0.09,1.0,4.64,56400.0,76.36,18.0,0.0,13.17,27.31,3.47,2.69,0.5541335178139053,0.3499142367066895,15.656665517835602,1.0000000000000002,0.1987685209851593,Neighborhood and Environment,31.74829121944032
66,119,2010,Texas,Jackson County,48239,47483.0,5.31,0.46,10.06,5.84,67.38,32.7,12.88,22.83,3.98,0.85,24.0,0.0,4.1,2.89,0.14,1.0,6.36,77500.0,63.82,90.0,0.0,12.05,39.04,3.9,3.08,0.4432145739651794,0.7264150943396226,11.84519267159814,0.434044741578812,0.5339672734291967,Economic Stability,29.407543344717535
67,120,2010,Texas,Jasper County,48241,38062.0,7.31,0.44,18.71,11.11,57.08,41.22,11.0,18.36,3.02,5.2,24.9,0.0,26.7,1.17,0.36,1.0,6.73,76600.0,51.95,92.0,0.0,9.49,33.56,2.67,1.78,0.4969445405280757,0.6586620926243568,19.98709891107078,0.6011828233479044,0.4243407345703989,Economic Stability,28.809361878286815
68,122,2010,Texas,Jefferson County,48245,42293.0,8.91,0.47,15.85,9.66,59.52,32.77,12.14,18.56,5.62,4.2,27.5,0.0,3.44,3.63,0.56,2.0,8.3,88400.0,68.9,80.0,1.0,11.03,39.92,6.67,4.27,0.3491294823013952,0.3743567753001715,18.824881807039045,0.569555155566984,0.5160923844393739,Healthcare Access,36.517708792614776
69,124,2010,Texas,Jim Wells County,48249,37020.0,6.59,0.45,20.27,11.26,52.72,33.81,6.79,29.4,3.79,2.18,23.9,0.02,2.97,0.86,0.29,2.0,9.84,67800.0,63.56,95.0,0.0,10.42,39.68,2.28,9.07,0.256082093854491,0.3979416809605488,16.611924194927333,0.6577526356389818,0.4887296223642087,Healthcare Access,28.762889552550984
70,125,2010,Texas,Johnson County,48251,54954.0,7.2,0.41,9.35,4.19,68.79,35.03,11.8,18.31,4.27,2.46,24.9,0.0,13.63,2.3,0.16,0.0,2.84,111800.0,37.76,81.0,0.0,6.37,24.31,5.28,3.42,0.338291248702871,0.422813036020583,10.723466969238528,0.4875289277449215,0.5637139651401275,Economic Stability,37.314274753430475
