Year,State,County,CountyFIPS,Median_Household_Income,Unemployment_Rate,Income_Inequality_Gini,Households_on_Food_Stamps,Households_Income_Below_10K,Population_Income_Above_200PCT_Poverty,High_School_Graduation_Rate,Bachelor_Degree_Rate,Less_Than_High_School_Edu,Graduate_Degree_Rate,Youth_Not_in_School_or_Work,Uninsured_Rate_Under_64,Hospitals_with_Ambulance_per_1K,Median_Distance_to_ER,Median_Distance_to_Clinic,Advanced_Nurses_per_1K,Primary_Care_Shortage_Score,Households_No_Vehicle,Median_Home_Value,Percent_Homes_Built_Pre_1979,Days_Heat_Index_Above_100F,Storm_Injuries_Total,Elderly_Living_Alone,Single_Parent_Households,Non_Citizen_Population,Limited_English_Households,Injury_Death_Rate,Self_Harm_Death_Rate,Poverty_Rate,Premature_Death_Rate,Adult_Health_Score,Max_SDOH_Category,Max_SDOH_Percent
2015,Texas,Bexar County,48029,51150.0,7.43,0.46,14.9,7.71,60.49,25.23,17.11,16.66,9.57,2.36,20.02,0.0,2.91,2.63,0.63,2.0,7.75,129400.0,44.16,60.0,0.0,7.87,35.3,7.95,7.0,0.3281131214839592,0.2045624532535527,15.08994737855355,0.2672295307284508,0.7207720997923864,Healthcare Access,35.042737728093826
2015,Texas,Blanco County,48031,55504.0,6.39,0.43,4.95,5.24,68.39,30.69,19.67,11.11,8.75,0.0,25.06,0.0,7.82,7.83,0.36,1.0,3.19,175000.0,30.07,23.0,0.0,11.53,26.23,5.88,3.77,0.653185342861487,0.6436050860134628,8.875148538961039,0.1892794031022973,0.6261162466788293,Economic Stability,33.84400579607748
2015,Texas,Bosque County,48035,44674.0,7.86,0.46,11.49,5.64,61.41,34.67,11.52,18.24,5.48,0.24,26.17,0.0,7.01,1.56,0.39,1.0,3.04,88800.0,56.05,57.0,0.0,14.96,26.88,4.61,2.81,0.5881100805838528,0.4745699326851159,14.61223691921306,0.4117416061260555,0.5290650188806992,Healthcare Access,27.663018190667156
2015,Texas,Bowie County,48037,42670.0,8.5,0.49,16.67,9.58,58.33,36.01,11.95,12.7,6.3,3.54,20.57,0.0,2.88,3.47,1.25,2.0,7.0,101800.0,48.72,56.0,0.0,10.94,41.62,2.29,1.16,0.6186711266534893,0.5474943904263274,19.11150298967204,0.5625368152365994,0.4221271338193608,Healthcare Access,36.56346738043546
2015,Texas,Brazoria County,48039,69749.0,5.37,0.43,9.26,4.93,73.7,25.66,18.54,14.02,10.02,1.71,18.07,0.0,5.66,6.75,0.32,2.0,3.51,152900.0,34.52,52.0,5.0,7.02,25.01,6.77,3.97,0.2254827428918959,0.293941660433807,11.03335240009276,0.2126448065972903,0.7753741271306763,Economic Stability,38.426386980380826
2015,Texas,Brazos County,48041,39808.0,6.43,0.52,9.58,14.98,51.95,20.39,20.81,14.59,18.13,1.06,16.15,0.0,2.25,2.18,0.49,2.0,6.2,160000.0,32.37,63.0,0.0,6.19,32.44,10.07,5.96,0.1014140185494906,0.1301421091997008,27.665687060363155,0.1676811309640683,0.8559529049367417,Economic Stability,34.495358829893576
2015,Texas,Brown County,48049,41962.0,4.35,0.46,14.9,7.24,56.98,37.85,13.07,14.57,4.86,0.8,20.45,0.0,3.25,1.92,0.61,0.0,7.14,90400.0,61.03,45.0,0.0,13.54,29.94,3.16,1.84,0.4471643606507526,0.50074794315632,18.568910685805424,0.6400942470056943,0.4317193492857256,Healthcare Access,31.810322941122088
2015,Texas,Burleson County,48051,51821.0,7.45,0.44,16.59,9.39,65.81,36.41,10.02,21.81,4.91,5.63,23.75,0.0,8.4,3.33,0.0,1.0,3.97,93100.0,42.18,64.0,0.0,13.15,34.1,5.0,1.78,0.6071157062490496,0.6746447270007478,15.94809812385854,0.4555271941881014,0.4770844989123494,Healthcare Access,27.431763402435017
2015,Texas,Burnet County,48053,49732.0,5.07,0.44,11.47,4.46,63.17,31.91,15.64,14.95,7.1,2.87,21.47,0.0,6.63,3.8,0.42,2.0,4.33,158900.0,32.73,50.0,0.0,12.21,36.84,4.03,2.73,0.6563782879732399,0.2666417352281227,16.217400483481065,0.2996269389357943,0.5966461767237392,Economic Stability,28.972170499456457
2015,Texas,Caldwell County,48055,47233.0,5.22,0.42,17.67,5.84,52.23,35.97,11.05,21.0,4.39,2.33,27.31,0.0,3.72,2.97,0.25,1.0,5.14,115300.0,40.19,65.0,0.0,9.95,30.6,5.47,6.65,0.4032233541128173,0.4554973821989529,17.804514583929084,0.2697820537993324,0.6716140232666601,Economic Stability,41.39789690594491
2015,Texas,Calhoun County,48057,51078.0,7.19,0.41,12.57,7.69,62.64,31.84,10.71,20.09,5.48,3.49,20.68,0.0,5.19,3.35,0.5,2.0,4.93,102800.0,58.76,60.0,1.0,9.57,29.53,6.56,6.53,0.5326136536414778,0.3949139865370232,16.707043216080404,0.2511290005890438,0.6500471049004279,Economic Stability,29.880506950732666
2015,Texas,Callahan County,48059,40981.0,5.42,0.48,8.69,13.92,60.93,38.74,10.78,12.43,3.56,0.59,28.09,0.0,14.62,4.46,0.52,0.0,3.3,74000.0,58.22,25.0,0.0,15.38,20.25,1.04,0.76,0.6141097764938421,0.7494390426327597,18.600567474048447,0.604555271941881,0.3780899996234427,Healthcare Access,25.85016502102907
2015,Texas,Cameron County,48061,33266.0,10.01,0.5,28.43,14.37,39.54,24.02,11.79,35.24,4.6,2.16,35.24,0.0,3.33,2.01,0.45,2.0,7.93,79300.0,36.47,75.0,0.0,8.73,36.83,16.7,18.26,0.0,0.0295437546746447,25.140568803441496,0.1926173178872963,0.8814752338001577,Economic Stability,41.13119986716958
2015,Texas,Cass County,48067,37352.0,9.24,0.45,16.98,9.97,55.47,43.98,9.65,14.44,3.99,1.57,24.87,0.0,3.69,3.45,0.3,1.0,7.25,81000.0,55.74,58.0,0.0,13.48,39.95,0.91,0.68,0.897977801429223,0.6249065071054598,22.91540579841861,0.6039662281562932,0.3057362719669112,Economic Stability,29.960738368730166
2015,Texas,Chambers County,48071,70544.0,7.79,0.44,6.32,6.96,72.11,31.83,13.35,16.94,5.34,2.13,20.18,0.0,5.97,3.91,0.15,1.0,2.63,151200.0,25.37,51.0,0.0,7.47,17.14,8.27,6.09,0.5607419796259692,0.4341810022438294,11.11113959642739,0.3924995091301787,0.552859600409719,Economic Stability,39.55671244931103
2015,Texas,Cherokee County,48073,39595.0,6.4,0.47,17.67,9.14,51.46,33.36,12.15,21.79,4.14,1.99,24.48,0.0,1.29,1.2,0.39,0.0,6.35,84500.0,53.89,53.0,0.0,10.68,36.63,6.9,4.59,0.5545081344077847,0.4966342557965593,20.723545214679778,0.4885136461810327,0.490875946389389,Economic Stability,35.50283210331284
2015,Texas,Clay County,48077,48297.0,6.76,0.45,9.72,6.05,69.36,39.51,11.04,11.2,4.87,4.83,20.37,0.0,11.33,17.45,0.0,1.0,3.21,83600.0,59.09,56.0,0.0,13.51,18.74,1.62,0.24,0.7067051847346815,0.7359760658189978,15.38953554156401,0.4753583349695661,0.4291758370159561,Healthcare Access,36.92348840384677
2015,Texas,Collin County,48085,84735.0,4.93,0.43,3.87,3.6,81.41,15.5,32.25,6.55,17.54,1.16,13.96,0.0,1.84,3.77,0.42,2.0,2.7,223400.0,15.31,58.0,121.0,5.22,18.56,9.86,5.28,0.0684202523947087,0.2116679132385938,7.988191989068238,0.0,0.958307132957728,Economic Stability,29.496367860211155
2015,Texas,Colorado County,48089,46618.0,4.17,0.48,11.0,8.25,63.65,38.83,14.0,17.48,4.23,0.0,21.77,0.0,3.13,3.14,0.34,2.0,5.37,109800.0,56.18,69.0,0.0,12.85,25.68,3.98,2.15,0.8634635852212253,0.4573672400897531,13.523260442067174,0.3689377577066562,0.4738615458006633,Economic Stability,28.049876266678936
2015,Texas,Comal County,48091,65833.0,4.94,0.44,6.07,4.29,74.51,25.53,22.92,9.53,10.49,1.8,18.21,0.0,6.04,2.9,0.38,0.0,3.06,214400.0,28.07,50.0,0.0,9.39,21.58,3.71,1.98,0.3715979930059296,0.4412864622288705,8.592771959987497,0.1293932849008443,0.7667559849348274,Economic Stability,33.89734262100914
2015,Texas,Cooke County,48097,52406.0,6.96,0.44,13.69,5.16,65.07,32.11,14.73,12.89,6.25,1.73,19.18,0.0,3.17,2.53,0.54,2.0,5.17,122700.0,49.97,48.0,4.0,10.63,26.41,5.76,2.29,0.6271856469514976,0.6402393418100223,13.226053417385533,0.3017867661496172,0.5667483120437782,Economic Stability,31.787220847888513
2015,Texas,Coryell County,48099,49340.0,9.51,0.4,10.89,5.55,60.4,30.3,10.49,11.78,4.33,1.06,11.73,0.0,5.33,2.22,0.26,1.0,4.25,102700.0,44.95,52.0,0.0,7.67,26.51,2.89,2.46,0.246921088642238,0.4080029917726253,14.83216304076019,0.4321617906931082,0.6258262998142011,Economic Stability,30.732096443371006
2015,Texas,Dallas County,48113,50270.0,7.56,0.5,14.68,7.1,56.54,22.87,18.69,22.3,10.43,2.71,27.12,0.0,2.04,5.13,1.01,2.0,7.42,132700.0,52.73,64.0,468.0,6.96,36.28,16.8,11.06,0.2292838680249354,0.1851159311892296,17.385618118672873,0.2528961319458079,0.7609655673061116,Neighborhood and Environment,41.33714172702324
2015,Texas,Dawson County,48115,41095.0,9.51,0.49,17.63,9.29,58.32,37.38,8.17,27.53,2.79,0.74,27.42,0.0,1.84,1.5,0.3,1.0,8.93,62100.0,82.8,6.0,0.0,14.15,25.1,5.69,8.88,0.4961228523642997,0.3586387434554973,16.129943903757777,0.4942077361083841,0.5187746282801299,Neighborhood and Environment,24.800985246201446
2015,Texas,Deaf Smith County,48117,43373.0,5.38,0.43,16.0,6.67,52.54,30.84,10.83,27.84,4.01,1.03,23.97,0.0,0.92,0.65,0.63,1.0,6.57,86700.0,74.94,0.0,0.0,10.01,33.3,12.08,11.14,0.4660179413106279,0.275243081525804,17.01754680438993,0.3092479874337326,0.6471215169939917,Neighborhood and Environment,25.81945047095623
2015,Texas,Denton County,48121,75050.0,5.7,0.43,5.93,4.01,77.23,19.33,28.43,8.08,12.86,1.51,15.43,0.0,2.19,5.32,0.42,2.0,2.98,197600.0,17.23,59.0,0.0,5.07,21.07,8.34,4.18,0.005017485175612,0.1682872101720269,8.719338405557393,0.0265069703514628,0.965761851219236,Economic Stability,31.298824069186015
2015,Texas,DeWitt County,48123,49736.0,6.84,0.54,13.68,9.4,63.63,37.5,10.74,21.36,3.8,4.86,21.03,0.0,2.18,1.78,0.48,0.0,6.09,98200.0,61.1,67.0,0.0,13.57,41.12,2.15,2.87,0.5508590542800669,0.318997756170531,15.26206203191143,0.3312389554290202,0.6040991348415147,Economic Stability,23.4927753314011
2015,Texas,Duval County,48131,33939.0,10.89,0.52,26.97,11.81,49.19,33.25,5.71,31.6,2.37,8.88,34.36,0.0,26.56,3.63,0.44,1.0,11.1,52800.0,57.76,70.0,0.0,11.71,40.1,1.57,9.83,0.7942831077999088,0.5837696335078533,17.98576976115616,1.0,0.103338104309242,Economic Stability,29.921844245811634
2015,Texas,Eastland County,48133,34888.0,4.43,0.56,12.26,12.17,50.42,35.93,10.47,17.27,3.93,0.0,26.83,0.0,1.53,0.92,0.44,1.0,6.34,60100.0,68.69,38.0,2.0,16.36,26.92,2.17,1.03,0.8701535654553747,0.5845175766641735,20.70255659574468,0.5631258590221874,0.3426266572836578,Economic Stability,41.16355506206715
2015,Texas,Ector County,48135,57150.0,5.24,0.44,13.23,4.76,66.61,28.67,10.56,25.87,4.07,4.58,26.52,0.0,2.7,3.99,0.58,2.0,4.9,103200.0,62.61,15.0,0.0,7.96,31.98,9.21,8.59,0.6019461760681161,0.3347045624532536,12.104077138492872,0.4508148439033969,0.5154567845922017,Economic Stability,30.220765951258016
2015,Texas,Ellis County,48139,62465.0,6.48,0.41,10.7,4.96,68.86,29.69,14.89,15.38,6.28,2.74,20.24,0.0,5.23,5.57,0.39,2.0,3.18,145400.0,29.87,64.0,46.0,6.92,24.77,6.07,4.14,0.2592367340732856,0.237845923709798,12.462656797198346,0.2709601413705086,0.7358683025847294,Economic Stability,37.973678785068486
2015,Texas,El Paso County,48141,41637.0,8.39,0.46,23.54,9.56,49.48,24.46,14.73,24.29,6.59,2.66,28.0,0.0,2.46,2.71,0.63,2.0,7.48,113900.0,47.02,0.0,0.0,7.59,33.32,14.7,21.19,0.1547818154173635,0.1278982797307404,17.54895432624113,0.1816218338896525,0.8318025270679253,Community Context,29.637601465757236
2015,Texas,Erath County,48143,41416.0,4.15,0.51,10.9,14.98,52.65,27.06,18.5,15.62,8.08,2.38,24.64,0.0,2.66,2.31,0.27,0.0,4.32,121700.0,45.58,40.0,0.0,9.24,26.71,5.43,3.33,0.3816329633571537,0.4498878085265519,24.61992645235931,0.1979187119575888,0.7217701029656455,Economic Stability,48.73483250459248
2015,Texas,Falls County,48145,36079.0,7.2,0.45,17.87,12.55,54.95,37.7,8.77,23.75,3.05,4.54,25.04,0.0,1.63,1.56,0.23,1.0,7.77,64900.0,61.54,78.0,0.0,18.12,31.25,4.34,4.28,0.424813744868481,0.3238593866866118,20.74131752091625,0.3010013744354997,0.6595691132094947,Economic Stability,26.999237903065538
2015,Texas,Fannin County,48147,44071.0,6.67,0.43,13.57,8.54,60.71,35.18,10.01,17.55,5.99,1.37,21.44,0.0,9.69,2.05,0.3,1.0,4.39,94600.0,46.65,52.0,0.0,11.87,29.93,4.23,1.54,0.7545993614109776,0.7614061331338817,19.56720623395024,0.6322403298645201,0.3181353803446065,Healthcare Access,33.62518141217545
2015,Texas,Fayette County,48149,47808.0,1.83,0.5,7.14,7.59,67.85,36.91,11.51,20.31,4.51,1.25,20.19,0.0,6.39,3.94,0.4,2.0,4.3,138100.0,45.31,64.0,0.0,15.35,20.75,4.83,3.12,0.634939942222898,0.2307404637247568,12.25194231709304,0.1773021794620066,0.6800626632834509,Economic Stability,39.83819881893359
2015,Texas,Fort Bend County,48157,89152.0,5.15,0.42,7.43,3.06,79.07,17.5,28.01,11.13,15.71,1.48,15.9,0.0,3.06,3.61,0.39,2.0,2.56,200200.0,16.85,67.0,0.0,4.43,19.89,12.3,6.25,0.024327200851452,0.1084517576664173,7.997156695156694,0.0035342627135284,0.9797361063498056,Economic Stability,33.48012640121706
2015,Texas,Freestone County,48161,44301.0,4.92,0.46,15.14,4.94,63.3,33.86,8.69,18.19,3.58,5.13,24.42,0.0,1.22,2.41,0.36,2.0,5.68,81400.0,43.37,72.0,0.0,12.31,34.42,5.94,3.9,0.5120875779230653,0.5321615557217649,15.31782759202972,0.3710975849204792,0.5704990200986164,Education,25.83463250699065
2015,Texas,Frio County,48163,36404.0,5.2,0.51,24.24,10.12,47.26,33.77,7.04,34.42,1.0,0.0,27.52,0.0,0.38,0.83,0.37,1.0,7.93,68400.0,48.14,80.0,0.0,6.82,38.43,10.79,10.43,0.4819826668693933,0.2225130890052356,17.551607254926576,0.4612212841154526,0.5564211205693869,Economic Stability,30.630251976192707
2015,Texas,Gaines County,48165,57635.0,3.98,0.45,8.74,6.82,64.32,27.91,8.47,39.37,3.38,3.66,37.26,0.0,2.66,2.52,0.25,1.0,5.22,92600.0,54.28,1.0,0.0,8.53,19.05,15.91,11.61,0.6223202067812073,0.3219895287958115,12.797692578015182,0.4007461221284115,0.5406573118090098,Community Context,23.524185109769974
2015,Texas,Galveston County,48167,62313.0,7.46,0.46,11.17,6.98,70.55,24.49,19.06,12.47,10.22,1.98,18.32,0.0,3.27,3.87,0.79,2.0,6.44,155000.0,42.21,41.0,0.0,7.57,26.28,5.72,3.17,0.2849323399726318,0.3485415108451757,13.820220845249446,0.3844492440604752,0.6489966004874078,Education,28.20133801749766
2015,Texas,Gillespie County,48171,54859.0,6.8,0.45,6.53,5.23,66.38,26.59,22.69,13.27,10.67,0.0,23.49,0.0,2.83,29.22,0.69,0.0,3.24,238300.0,39.92,15.0,0.0,17.06,22.6,6.08,3.4,0.6013379960468298,0.4857890800299176,10.501923383878692,0.0761829962693894,0.7253098954213256,Healthcare Access,31.769206937616605
2015,Texas,Gonzales County,48177,42983.0,6.49,0.47,16.54,7.78,53.45,33.68,10.06,27.88,3.75,2.7,29.27,0.0,5.73,0.71,0.44,2.0,7.35,89200.0,55.2,67.0,0.0,12.43,38.03,11.65,5.9,0.6528812528508438,0.2524308152580403,19.26126277005527,0.3858236795601807,0.5473983348828344,Healthcare Access,28.302858365216448
2015,Texas,Gray County,48179,43288.0,5.4,0.42,9.77,5.56,61.26,32.98,9.79,19.52,3.83,3.68,24.48,0.0,1.63,20.59,0.56,1.0,4.25,74800.0,79.16,1.0,0.0,13.05,28.43,6.29,4.01,0.511783487912422,0.4596110695587135,12.973460665362037,0.5643039465933635,0.4619214787143839,Healthcare Access,30.332321371249442
2015,Texas,Grayson County,48181,47952.0,7.8,0.45,14.6,7.46,63.02,31.97,13.01,12.88,7.33,2.64,21.45,0.0,2.68,7.78,0.57,2.0,6.11,107000.0,53.92,52.0,0.0,11.35,34.57,4.23,2.21,0.503573057625057,0.5635751682872101,16.454646675358543,0.4594541527586885,0.5168980742285487,Healthcare Access,41.41923374366998
2015,Texas,Gregg County,48183,47639.0,5.9,0.46,14.51,7.79,57.99,28.19,14.01,15.89,6.45,1.6,22.87,0.0,1.79,2.27,1.18,2.0,6.82,124600.0,56.42,57.0,1.0,10.73,37.01,6.58,3.22,0.4894328721301505,0.3433059087509348,17.198991734184467,0.5829569998036521,0.46906534760367,Healthcare Access,49.42914058762
2015,Texas,Grimes County,48185,46195.0,6.2,0.47,14.66,11.69,58.22,35.85,7.67,21.67,3.82,3.09,23.91,0.0,9.64,9.64,0.15,2.0,5.85,105400.0,37.4,62.0,0.0,14.19,41.63,6.71,4.05,0.5356545537479093,0.4454001495886312,18.72703871126819,0.4845866876104456,0.5040116063504967,Healthcare Access,30.007764838767116
2015,Texas,Guadalupe County,48187,62420.0,5.7,0.4,8.98,5.11,72.04,29.66,17.05,12.61,9.03,1.09,16.94,0.0,4.15,6.83,0.2,0.0,3.56,163300.0,27.58,60.0,0.0,8.76,24.68,3.84,3.61,0.3048502356697582,0.2367240089753178,9.634086174597227,0.1788729628902414,0.7775487506673958,Economic Stability,36.30596468179503
2015,Texas,Hale County,48189,43375.0,8.05,0.42,18.99,8.76,52.27,32.25,9.11,27.64,5.58,3.72,24.59,0.0,1.32,0.81,0.32,2.0,4.37,73400.0,82.83,0.0,1.0,7.83,34.56,7.22,6.44,0.3766154781815416,0.3354525056095737,19.277937589894314,0.4376595326919301,0.590874386369422,Neighborhood and Environment,29.15008123980347
2015,Texas,Hardin County,48199,52614.0,5.54,0.45,11.79,6.81,68.92,38.21,10.85,13.69,4.6,3.74,20.85,0.0,4.57,2.7,0.32,0.0,3.75,101000.0,40.8,65.0,0.0,9.97,21.83,0.82,0.7,0.5201459632051088,0.3889304412864622,11.803068783068785,0.376595326919301,0.5791059707582406,Economic Stability,25.037614176415968
2015,Texas,Harris County,48201,54457.0,7.5,0.5,13.19,6.76,60.87,23.33,18.93,20.41,10.53,2.59,25.47,0.0,1.88,2.57,0.72,2.0,6.7,137800.0,45.28,66.0,4.0,6.28,33.04,16.92,11.88,0.2517865288125284,0.1798803290949887,15.835499639509734,0.2248183781661104,0.7715849815470763,Community Context,29.759663612413416
2015,Texas,Harrison County,48203,45974.0,7.7,0.47,13.27,8.34,61.3,34.01,13.95,16.17,5.2,3.87,21.74,0.0,5.35,2.35,0.46,2.0,5.27,112700.0,47.64,56.0,0.0,11.25,29.9,4.89,2.25,0.6144138665044853,0.3904263275991024,17.989379838218667,0.5012762615354408,0.4758674503674797,Healthcare Access,29.557242617440927
2015,Texas,Hays County,48209,58583.0,6.65,0.46,8.48,7.59,66.06,21.45,25.12,11.04,11.02,2.96,17.07,0.0,3.88,3.13,0.5,2.0,3.26,180900.0,18.23,53.0,0.0,6.23,23.32,5.39,3.53,0.2207693477269271,0.2468212415856394,16.41342199374162,0.1070096210484979,0.8448812988942591,Education,33.26942795442112
2015,Texas,Henderson County,48213,41607.0,7.75,0.46,14.97,8.11,57.25,34.25,11.52,18.07,4.97,3.16,26.15,0.0,13.44,4.56,0.57,2.0,4.44,91500.0,39.39,64.0,0.0,12.31,28.84,4.12,1.86,0.7188687851604074,0.6413612565445026,19.65018572656922,0.5880620459454153,0.3673660112301782,Healthcare Access,37.9367924517123
2015,Texas,Hidalgo County,48215,34782.0,9.88,0.49,32.09,13.33,39.03,23.23,11.89,37.91,4.85,2.43,37.96,0.0,3.28,2.92,0.38,2.0,6.76,79200.0,24.48,96.0,0.0,6.59,30.67,21.23,20.41,0.0191576706705184,0.0175766641735228,23.904144351464435,0.124288238759081,0.9179220891260436,Economic Stability,36.708295359574464
2015,Texas,Hill County,48217,41382.0,8.87,0.46,18.29,8.08,56.07,33.12,9.86,20.58,4.94,1.71,25.51,0.0,2.12,2.07,0.29,1.0,5.19,85000.0,50.57,62.0,0.0,12.34,32.13,5.57,3.5,0.8823171658811007,0.557217651458489,20.035686162856912,0.4649518947575103,0.4006119482353147,Economic Stability,34.84530344924093
2015,Texas,Hockley County,48219,50665.0,6.43,0.44,14.01,9.16,62.07,26.17,11.24,22.24,4.49,2.95,25.39,0.0,5.45,1.44,0.3,2.0,5.22,81600.0,63.79,0.0,0.0,10.34,27.65,5.43,6.17,0.5405199939181997,0.4513836948391922,13.445958592132504,0.555664637738072,0.4593068496977776,Neighborhood and Environment,33.33143872549984
2015,Texas,Hood County,48221,56100.0,5.01,0.45,9.0,5.05,68.06,28.4,17.14,11.57,8.37,4.16,21.71,0.0,5.03,13.68,0.29,0.0,2.9,153000.0,28.18,55.0,0.0,12.16,19.72,4.02,1.77,0.7041204196442146,0.456245325355273,12.01030535698526,0.3551934027096014,0.5300232999454475,Healthcare Access,28.016521405769584
2015,Texas,Hopkins County,48223,44396.0,7.06,0.45,14.05,8.44,57.71,37.3,10.51,17.69,5.67,5.47,26.45,0.0,2.34,1.45,0.55,0.0,5.39,92800.0,48.92,56.0,0.0,10.95,29.98,5.96,2.61,0.4927778622472251,0.2700074794315631,20.111926581619368,0.3269193010013745,0.6290143127818514,Healthcare Access,37.92297005413016
2015,Texas,Houston County,48225,32698.0,6.4,0.48,19.07,12.58,52.84,37.29,10.95,17.51,3.59,0.0,22.52,0.0,1.51,1.52,0.13,1.0,7.97,76500.0,46.15,62.0,0.0,17.19,35.82,2.18,2.26,0.5906948456743196,0.5568436798803289,27.600885201793723,0.3614765364225407,0.5502212564561467,Economic Stability,37.80110752159765
2015,Texas,Howard County,48227,49575.0,6.43,0.46,12.86,8.58,63.69,31.28,9.29,21.96,3.54,5.16,20.87,0.0,1.93,1.41,0.73,2.0,6.65,73800.0,78.69,15.0,0.0,12.4,34.04,7.51,2.45,0.6776645887182605,0.368735976065819,15.609670415717538,0.6371490280777539,0.3775376089312876,Neighborhood and Environment,29.987430522103192
2015,Texas,Hunt County,48231,45197.0,11.42,0.44,15.71,8.24,59.99,34.65,11.03,16.57,6.43,2.04,22.61,0.0,5.72,2.95,0.51,2.0,6.53,94400.0,42.85,55.0,0.0,10.5,26.23,4.51,1.66,0.4299832750494146,0.4738219895287958,19.640323071415786,0.4409974474769291,0.5590243500461386,Economic Stability,36.69462188583743
